"Date_InitialTag","Transect","TransectNum","NewTagNum","Species","Date_DocumentedDisease","Date_DocumentedMortality","immune_y/n","check_condition_initials","Date","Condition","Percentage","check_condition_notes"
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","062019","Healthy",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","052022","Diseased",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","122022","Diseased",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","092023","Diseased",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","112023","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","122023","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","012024","Diseased",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","022024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","042024","Diseased",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","062024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","082024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","122024","Not_visited",NA,NA
"6/21/19","CBC30N",1,"1","SSID","5/21/22","Diseased","n","x","062025","Diseased",NA,NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","062019","Healthy",NA,NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","052022","Healthy",NA,NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","122022","Healthy",NA,NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","092023","CLP,CLB","10%,90%",NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","112023","CLB","100%",NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","122023","CLB","100%",NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","012024","CLP,CLB","5%,95%",NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","022024","Healthy",NA,NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","042024","Not_Visited",NA,NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","062024","Healthy",NA,NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","082024","Healthy",NA,NA
"6/21/19","CBC30N",1,"2","PAST","Healthy","Healthy","y","x","122024",NA,NA,NA
