Species,BB,CBC30N,CURLEW,HANGMAN,LAGOON,SR30N,Total,inshore total,offshore total
CNAT,0,0,0,0,0,0,0,0,0
DLAB,0,2,2,0,2,2,8,0,8
MCAV,6,1,3,5,4,5,24,20,19
mcav add,4,4,2,5,,,,,
MMEA,0,0,0,0,0,0,0,0,0
OANN,7,3,1,5,2,2,20,20,20
oann add,3,2,4,5,3,3,,,
OFAV,6,0,4,5,2,4,21,20,20
ofav add,4,5,1,5,3,1,,,
PAST,5,1,0,5,3,4,18,20,20
past add,5,4,5,5,2,1,,,
PSTR,6,1,2,6,4,2,21,20,20
pstr add,4,4,3,4,1,3,,,
SSID,6,7,0,5,8,7,33,20,32
ssid add,4,,5,5,,,,,
Total current live,36,15,12,31,25,26,145,,
to add,24,19,20,29,9,8,109,,
total total,60,34,32,60,34,34,254,120,139
