Date_InitialTag,Transect,TransectNum,NewTagNum,Species,Size_Class,MaxDiameter,Height,immune_y/n,Date_DocumentedDisease,Date_DocumentedMortality,062019_TL-052022_TL,052022_TL-122022_TL,122022_TL-092023_TL,092023_TL-012024_TL,012024_TL-042024_TL,042024_TL-062025_TL
43637,CBC30N,1,1,SSID,5,45,24,n,5/21/2022,Diseased,-54.54545455,-33.33333333,-80,0,0,0
43753,CBC30N,1,4,PSTR,3,44,39,n,5/21/2022,12/2/2022,-64.1025641,-100,,,,
43640,CBC30N,1,5,SSID,5,65,27,n,5/21/2022,Diseased,-64.1025641,-21.42857143,-27.27272727,-12.5,-14.28571429,0
43753,CBC30N,1,6,PSTR,NA,35,38,n,12/2/2022,9/25/2023,0,-37.5,-100,,,
43640,CBC30N,1,7,MCAV,3,32,20,n,Healthy,12/1/2024,-13.51351351,-21.875,-16,-66.66666667,0,n/a
43640,CBC30N,1,8,MCAV,3,35,30,n,5/21/2022,9/25/2023,-63.15789474,-57.14285714,-100,,,
43637,CBC30N,1,9,SSID,5,38,18,n,5/21/2022,Diseased,-92.30769231,-33.33333333,0,n/a,n/a,0
43640,CBC30N,1,10,SSID,4,62,35,n,12/2/2022,9/25/2023,-97.43589744,0,-100,,,
43640,CBC30N,1,11,SSID,3,39,31,n,5/21/2022,Diseased,-92.30769231,0,-33.33333333,0,0,0
43640,CBC30N,1,14,MCAV,3,25,24,n,5/21/2022,12/2/2022,-26.31578947,-100,,,,
43642,CBC30N,1,15,MCAV,5,33,24,n,5/21/2022,12/2/2022,-76.92307692,-100,,,,
43640,CBC30N,1,16,SSID,5,115,55,n,5/21/2022,Diseased,-13.15789474,0,-9.090909091,-13.33333333,-15.38461538,-63.63636364
43640,CBC30N,1,17,SSID,4,57,22,n,5/21/2022,Diseased,-7.692307692,-8.333333333,-15.15151515,-25,-4.761904762,-85
43637,CBC30N,1,19,PAST,4,26,6,n,5/21/2022,4/1/2024,-35,19.23076923,-6.451612903,-93.10344828,-100,
