"Transect","Status","MCAV","OANN","OFAV","PAST","PSTR","SSID","DLAB","CNAT","Total"
"BB","Bleached",4,7,6,6,4,0,0,0,27
"BB","Not Bleached",2,0,0,0,2,6,0,0,10
"CBC30N","Bleached",2,3,0,5,1,2,1,0,14
"CBC30N","Not Bleached",0,0,0,0,0,5,1,0,6
"CURLEW","Bleached",2,0,2,0,2,0,1,0,7
"CURLEW","Not Bleached",1,1,2,0,0,0,1,0,5
"HANGMAN","Bleached",3,4,3,1,6,1,0,0,18
"HANGMAN","Not Bleached",2,1,2,4,0,4,0,0,13
"LAGOON","Bleached",3,2,0,7,4,3,2,0,21
"LAGOON","Not Bleached",1,0,2,0,0,5,0,0,8
"SR30N","Bleached",4,2,3,2,2,9,1,1,24
"SR30N","Not Bleached",1,0,1,3,0,0,1,0,6
"Total","Bleached",18,18,14,21,19,15,5,1,111
"Total","Not Bleached",7,2,7,7,2,20,3,0,48
"Total","Total",25,20,21,28,21,35,8,1,159
